Image,Flow,FlowRGB,GtMask,Sequence,Dino
FBMS/FBMS_clean/JPEGImages/bear02/00160.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00160.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00160.flo.png,FBMS/FBMS_clean/Annotations/bear02/00160.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00160.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00180.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00180.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00180.flo.png,FBMS/FBMS_clean/Annotations/bear02/00180.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00180.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00200.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00200.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00200.flo.png,FBMS/FBMS_clean/Annotations/bear02/00200.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00200.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00220.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00220.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00220.flo.png,FBMS/FBMS_clean/Annotations/bear02/00220.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00220.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00240.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00240.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00240.flo.png,FBMS/FBMS_clean/Annotations/bear02/00240.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00240.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00260.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00260.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00260.flo.png,FBMS/FBMS_clean/Annotations/bear02/00260.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00260.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00280.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00280.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00280.flo.png,FBMS/FBMS_clean/Annotations/bear02/00280.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00280.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00300.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00300.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00300.flo.png,FBMS/FBMS_clean/Annotations/bear02/00300.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00300.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00320.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00320.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00320.flo.png,FBMS/FBMS_clean/Annotations/bear02/00320.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00320.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00340.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00340.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00340.flo.png,FBMS/FBMS_clean/Annotations/bear02/00340.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00340.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00360.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00360.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00360.flo.png,FBMS/FBMS_clean/Annotations/bear02/00360.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00360.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00380.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00380.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00380.flo.png,FBMS/FBMS_clean/Annotations/bear02/00380.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00380.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00400.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00400.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00400.flo.png,FBMS/FBMS_clean/Annotations/bear02/00400.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00400.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00420.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00420.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00420.flo.png,FBMS/FBMS_clean/Annotations/bear02/00420.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00420.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00440.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00440.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00440.flo.png,FBMS/FBMS_clean/Annotations/bear02/00440.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00440.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/bear02/00458.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/bear02/00458.flo,,FBMS/FBMS_clean/Annotations/bear02/00458.png,bear02,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00458.jpg_180x320.npy
FBMS/FBMS_clean/JPEGImages/cars2/00001.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars2/00001.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars2/00001.flo.png,FBMS/FBMS_clean/Annotations/cars2/00001.png,cars2,FBMS/FBMS_clean/DINO/dino_vits8//cars2/00001.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars2/00010.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars2/00010.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars2/00010.flo.png,FBMS/FBMS_clean/Annotations/cars2/00010.png,cars2,FBMS/FBMS_clean/DINO/dino_vits8//cars2/00010.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars2/00020.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars2/00020.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars2/00020.flo.png,FBMS/FBMS_clean/Annotations/cars2/00020.png,cars2,FBMS/FBMS_clean/DINO/dino_vits8//cars2/00020.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars2/00030.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars2/00030.flo,,FBMS/FBMS_clean/Annotations/cars2/00030.png,cars2,FBMS/FBMS_clean/DINO/dino_vits8//cars2/00030.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars3/00001.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars3/00001.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars3/00001.flo.png,FBMS/FBMS_clean/Annotations/cars3/00001.png,cars3,FBMS/FBMS_clean/DINO/dino_vits8//cars3/00001.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars3/00010.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars3/00010.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars3/00010.flo.png,FBMS/FBMS_clean/Annotations/cars3/00010.png,cars3,FBMS/FBMS_clean/DINO/dino_vits8//cars3/00010.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars3/00019.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars3/00019.flo,,FBMS/FBMS_clean/Annotations/cars3/00019.png,cars3,FBMS/FBMS_clean/DINO/dino_vits8//cars3/00019.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars6/00001.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars6/00001.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars6/00001.flo.png,FBMS/FBMS_clean/Annotations/cars6/00001.png,cars6,FBMS/FBMS_clean/DINO/dino_vits8//cars6/00001.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars6/00010.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars6/00010.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars6/00010.flo.png,FBMS/FBMS_clean/Annotations/cars6/00010.png,cars6,FBMS/FBMS_clean/DINO/dino_vits8//cars6/00010.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars6/00020.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars6/00020.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars6/00020.flo.png,FBMS/FBMS_clean/Annotations/cars6/00020.png,cars6,FBMS/FBMS_clean/DINO/dino_vits8//cars6/00020.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars6/00030.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars6/00030.flo,,FBMS/FBMS_clean/Annotations/cars6/00030.png,cars6,FBMS/FBMS_clean/DINO/dino_vits8//cars6/00030.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars7/00001.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars7/00001.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars7/00001.flo.png,FBMS/FBMS_clean/Annotations/cars7/00001.png,cars7,FBMS/FBMS_clean/DINO/dino_vits8//cars7/00001.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars7/00010.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars7/00010.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars7/00010.flo.png,FBMS/FBMS_clean/Annotations/cars7/00010.png,cars7,FBMS/FBMS_clean/DINO/dino_vits8//cars7/00010.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars7/00024.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars7/00024.flo,,FBMS/FBMS_clean/Annotations/cars7/00024.png,cars7,FBMS/FBMS_clean/DINO/dino_vits8//cars7/00024.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars8/00001.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars8/00001.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars8/00001.flo.png,FBMS/FBMS_clean/Annotations/cars8/00001.png,cars8,FBMS/FBMS_clean/DINO/dino_vits8//cars8/00001.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars8/00010.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars8/00010.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars8/00010.flo.png,FBMS/FBMS_clean/Annotations/cars8/00010.png,cars8,FBMS/FBMS_clean/DINO/dino_vits8//cars8/00010.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars8/00024.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars8/00024.flo,,FBMS/FBMS_clean/Annotations/cars8/00024.png,cars8,FBMS/FBMS_clean/DINO/dino_vits8//cars8/00024.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars9/00001.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars9/00001.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars9/00001.flo.png,FBMS/FBMS_clean/Annotations/cars9/00001.png,cars9,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00001.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars9/00010.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars9/00010.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars9/00010.flo.png,FBMS/FBMS_clean/Annotations/cars9/00010.png,cars9,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00010.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars9/00020.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars9/00020.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars9/00020.flo.png,FBMS/FBMS_clean/Annotations/cars9/00020.png,cars9,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00020.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars9/00030.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars9/00030.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars9/00030.flo.png,FBMS/FBMS_clean/Annotations/cars9/00030.png,cars9,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00030.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars9/00040.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars9/00040.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars9/00040.flo.png,FBMS/FBMS_clean/Annotations/cars9/00040.png,cars9,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00040.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars9/00050.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars9/00050.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars9/00050.flo.png,FBMS/FBMS_clean/Annotations/cars9/00050.png,cars9,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00050.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cars9/00060.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cars9/00060.flo,,FBMS/FBMS_clean/Annotations/cars9/00060.png,cars9,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00060.jpg_240x320.npy
FBMS/FBMS_clean/JPEGImages/cats02/00001.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats02/00001.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats02/00001.flo.png,FBMS/FBMS_clean/Annotations/cats02/00001.png,cats02,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00001.jpg_202x360.npy
FBMS/FBMS_clean/JPEGImages/cats02/00020.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats02/00020.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats02/00020.flo.png,FBMS/FBMS_clean/Annotations/cats02/00020.png,cats02,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00020.jpg_202x360.npy
FBMS/FBMS_clean/JPEGImages/cats02/00040.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats02/00040.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats02/00040.flo.png,FBMS/FBMS_clean/Annotations/cats02/00040.png,cats02,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00040.jpg_202x360.npy
FBMS/FBMS_clean/JPEGImages/cats02/00060.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats02/00060.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats02/00060.flo.png,FBMS/FBMS_clean/Annotations/cats02/00060.png,cats02,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00060.jpg_202x360.npy
FBMS/FBMS_clean/JPEGImages/cats02/00080.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats02/00080.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats02/00080.flo.png,FBMS/FBMS_clean/Annotations/cats02/00080.png,cats02,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00080.jpg_202x360.npy
FBMS/FBMS_clean/JPEGImages/cats02/00100.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats02/00100.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats02/00100.flo.png,FBMS/FBMS_clean/Annotations/cats02/00100.png,cats02,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00100.jpg_202x360.npy
FBMS/FBMS_clean/JPEGImages/cats02/00120.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats02/00120.flo,,FBMS/FBMS_clean/Annotations/cats02/00120.png,cats02,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00120.jpg_202x360.npy
FBMS/FBMS_clean/JPEGImages/cats04/00001.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats04/00001.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats04/00001.flo.png,FBMS/FBMS_clean/Annotations/cats04/00001.png,cats04,FBMS/FBMS_clean/DINO/dino_vits8//cats04/00001.jpg_270x480.npy
FBMS/FBMS_clean/JPEGImages/cats04/00020.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats04/00020.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats04/00020.flo.png,FBMS/FBMS_clean/Annotations/cats04/00020.png,cats04,FBMS/FBMS_clean/DINO/dino_vits8//cats04/00020.jpg_270x480.npy
FBMS/FBMS_clean/JPEGImages/cats04/00040.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats04/00040.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats04/00040.flo.png,FBMS/FBMS_clean/Annotations/cats04/00040.png,cats04,FBMS/FBMS_clean/DINO/dino_vits8//cats04/00040.jpg_270x480.npy
FBMS/FBMS_clean/JPEGImages/cats04/00060.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats04/00060.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats04/00060.flo.png,FBMS/FBMS_clean/Annotations/cats04/00060.png,cats04,FBMS/FBMS_clean/DINO/dino_vits8//cats04/00060.jpg_270x480.npy
FBMS/FBMS_clean/JPEGImages/cats04/00080.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats04/00080.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats04/00080.flo.png,FBMS/FBMS_clean/Annotations/cats04/00080.png,cats04,FBMS/FBMS_clean/DINO/dino_vits8//cats04/00080.jpg_270x480.npy
FBMS/FBMS_clean/JPEGImages/cats04/00098.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats04/00098.flo,,FBMS/FBMS_clean/Annotations/cats04/00098.png,cats04,FBMS/FBMS_clean/DINO/dino_vits8//cats04/00098.jpg_270x480.npy
FBMS/FBMS_clean/JPEGImages/cats05/00001.jpg,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats05/00001.flo,FBMS/FBMS_clean/OpticalFlow/OpticalFlowRaft/raft-sintel_gap1/cats05/00001.flo.png,FBMS/FBMS_clean/Annotations/cats05/00001.png,cats05,FBMS/FBMS_clean/DINO/dino_vits8//cats05/00001.jpg_202x360.npy
